Senwiktionary sitelink QuickStatements for en.wiktionary links
================================================================================

Total items: 160

QID             Word                           Page Title                                        
Q137763711      kapa                           Appendix:Toki_Pona/kapa                           
Q137763713      kapesi                         Appendix:Toki_Pona/kapesi                         
Q137763734      kiki                           Appendix:Toki_Pona/kiki                           
Q137374454      majuna                         Appendix:Toki_Pona/majuna                         
Q137763794      misa                           Appendix:Toki_Pona/misa                           
Q137763824      omekapo                        Appendix:Toki_Pona/omekapo                        
Q137374459      pake                           Appendix:Toki_Pona/pake                           
Q137763834      pakola                         Appendix:Toki_Pona/pakola                         
Q137763841      pasila                         Appendix:Toki_Pona/pasila                         
Q137374460      pata                           Appendix:Toki_Pona/pata                           
Q137374462      po                             Appendix:Toki_Pona/po                             
Q137722416      powe                           Appendix:Toki_Pona/powe                           
Q137763856      puwa                           Appendix:Toki_Pona/puwa                           
Q137374531      su                             Appendix:Toki_Pona/su                             
Q137763921      unu                            Appendix:Toki_Pona/unu                            
