P11250 QuickStatements for sona.pona.la wiki links
================================================================================

Total items: 323

QID             Word                           sonapona:pagename                       
Q137763763      linuwi                         sonapona:linuwi                                  
Q137763764      lipamanka                      sonapona:lipamanka                               
Q137763766      lo                             sonapona:lo                                      
Q137763767      loka                           sonapona:loka                                    
Q137763768      lokon                          sonapona:lokon                                   
Q137763770      losupan                        sonapona:losupan                                 
Q137763771      lu                             sonapona:lu                                      
Q137374454      majuna                         sonapona:majuna                                  
Q137763780      manka                          sonapona:manka                                   
Q137763781      masalo                         sonapona:masalo                                  
Q137763782      masenta                        sonapona:masenta                                 
Q137763784      matula                         sonapona:matula                                  
Q137763785      me                             sonapona:me                                      
Q137763790      mijomi                         sonapona:mijomi                                  
Q137763794      misa                           sonapona:misa                                    
Q137763795      molusa                         sonapona:molusa                                  
Q137763798      nalanja                        sonapona:nalanja                                 
Q137763801      nan                            sonapona:nan                                     
Q137763802      nano                           sonapona:nano                                    
Q137763804      nata                           sonapona:nata                                    
Q137763805      natu                           sonapona:natu                                    
Q137763806      neja                           sonapona:neja                                    
Q137763807      nele                           sonapona:nele                                    
Q137763808      niko                           sonapona:niko                                    
Q137763812      nowi                           sonapona:nowi                                    
Q137763813      nu                             sonapona:nu                                      
Q137763816      nuwa                           sonapona:nuwa                                    
Q137763818      ojuta                          sonapona:ojuta                                   
Q137763819      oke                            sonapona:oke                                     
Q137763820      okepuma                        sonapona:okepuma                                 
Q137763821      oki                            sonapona:oki                                     
Q137763822      olala                          sonapona:olala                                   
Q137763823      omekalike                      sonapona:omekalike                               
Q137763824      omekapo                        sonapona:omekapo                                 
Q137763825      omen                           sonapona:omen                                    
Q137763826      oni                            sonapona:oni                                     
Q137763827      onono                          sonapona:onono                                   
Q137763830      opasan                         sonapona:opasan                                  
Q137763831      owe                            sonapona:owe                                     
Q137763832      pa                             sonapona:pa                                      
Q137763833      paka                           sonapona:paka                                    
Q137374459      pake                           sonapona:pake                                    
Q137763834      pakola                         sonapona:pakola                                  
Q137763838      panke                          sonapona:panke                                   
Q137763839      panpan                         sonapona:panpan                                  
Q137763841      pasila                         sonapona:pasila                                  
